iter_count,highest_fit,best_circuit,no_units,iter_max,best_count_lim,p_mutation,p_crossing,no_circuits,value_weight,waste_weight
204,30.5985,9 8 5 2 8 10 0 1 11 9 3 2 9 1 4 2 9 7 9 5 6 ,10,5000,200,0.5,0.9,100,100,500
230,34.7197,6 9 7 10 8 3 0 5 6 5 6 10 8 9 2 0 11 1 4 6 8 ,10,5000,200,0.5,0.9,100,100,500
227,31.9249,1 2 9 6 4 10 6 0 7 6 11 0 9 2 5 8 1 3 9 6 3 ,10,5000,200,0.5,0.9,100,100,500
440,78.702,1 8 9 8 2 1 6 10 8 1 11 3 0 7 4 3 5 3 5 3 1 ,10,5000,200,0.5,0.9,100,100,500
506,38.2206,8 2 5 7 4 7 1 10 9 2 0 6 8 5 3 10 2 2 9 4 11 ,10,5000,200,0.5,0.9,100,100,500
408,50.2825,2 4 5 6 2 6 0 9 2 1 3 6 7 9 3 8 11 7 4 10 6 ,10,5000,200,0.5,0.9,100,100,500
216,24.6278,9 9 8 2 7 10 6 1 11 2 1 9 0 8 11 1 9 4 3 4 5 ,10,5000,200,0.5,0.9,100,100,500
389,33.2753,9 5 4 4 7 10 9 1 11 2 9 7 0 0 3 4 6 4 7 0 8 ,10,5000,200,0.5,0.9,100,100,500
466,39.1586,9 3 5 4 11 6 0 10 0 8 6 2 7 7 9 8 4 10 0 7 1 ,10,5000,200,0.5,0.9,100,100,500
375,40.7444,0 1 3 4 6 7 1 2 8 10 1 2 11 4 0 6 4 9 5 6 11 ,10,5000,200,0.5,0.9,100,100,500
359,70.1519,0 8 4 10 8 1 0 1 2 6 7 10 8 9 3 8 11 9 6 8 5 ,10,5000,200,0.05,0.9,100,100,500
569,141.91,8 1 3 5 4 4 6 1 2 5 8 10 9 1 7 8 11 1 0 10 1 ,10,5000,200,0.05,0.9,100,100,500
507,100.419,1 9 3 8 2 1 3 7 6 7 5 0 11 7 4 9 8 9 0 10 7 ,10,5000,200,0.05,0.9,100,100,500
1813,164.261,4 1 2 9 6 1 3 1 7 1 5 1 0 9 8 6 11 9 4 10 1 ,10,5000,200,0.05,0.9,100,100,500
880,151.623,8 7 4 7 8 5 3 0 6 5 1 7 0 4 11 10 5 5 9 5 2 ,10,5000,200,0.05,0.9,100,100,500
1021,144.133,5 5 11 9 4 10 7 2 5 3 0 9 8 9 1 10 9 9 6 2 3 ,10,5000,200,0.05,0.9,100,100,500
989,130.067,7 6 11 10 6 6 9 5 0 1 5 6 2 1 4 6 8 4 3 1 7 ,10,5000,200,0.05,0.9,100,100,500
721,164.486,6 3 4 8 9 4 5 10 8 3 6 0 11 8 1 8 2 3 0 8 7 ,10,5000,200,0.05,0.9,100,100,500
856,115.7,3 10 9 9 7 0 8 2 1 10 0 0 3 5 11 9 6 4 5 4 2 ,10,5000,200,0.05,0.9,100,100,500
1053,164.486,5 9 6 9 0 10 9 5 11 2 8 9 1 9 7 9 3 2 5 2 4 ,10,5000,200,0.05,0.9,100,100,500
846,62.9867,1 11 5 2 9 8 6 8 0 5 7 3 6 8 1 2 11 10 2 2 4 ,10,5000,200,0.25,0.9,100,100,500
498,41.828,8 6 2 5 7 3 9 4 2 10 6 3 1 4 8 6 11 9 0 6 5 ,10,5000,200,0.25,0.9,100,100,500
724,103.241,4 3 11 9 7 10 3 2 9 9 5 3 1 2 8 3 0 2 4 8 6 ,10,5000,200,0.25,0.9,100,100,500
639,111.016,3 5 2 7 6 5 9 2 1 7 8 10 0 9 4 0 2 0 11 5 3 ,10,5000,200,0.25,0.9,100,100,500
369,65.4007,4 5 1 7 6 0 1 7 4 1 9 6 3 7 5 10 2 0 11 6 8 ,10,5000,200,0.25,0.9,100,100,500
277,39.8175,4 10 6 7 3 7 5 0 4 3 9 3 11 8 1 11 3 10 0 1 2 ,10,5000,200,0.25,0.9,100,100,500
432,88.8735,0 4 7 10 2 1 5 2 8 1 2 4 9 5 11 5 6 1 0 4 3 ,10,5000,200,0.25,0.9,100,100,500
561,67.8654,8 7 9 4 5 4 3 4 1 10 2 2 0 3 5 1 2 2 6 7 11 ,10,5000,200,0.25,0.9,100,100,500
574,74.9506,2 10 8 9 11 7 5 0 7 6 2 7 1 9 3 8 9 10 6 0 4 ,10,5000,200,0.25,0.9,100,100,500
489,70.6056,9 10 5 9 3 7 6 8 2 0 8 0 4 5 11 0 5 0 1 5 1 ,10,5000,200,0.25,0.9,100,100,500
742,157.764,1 4 6 8 5 10 8 4 0 2 7 8 3 4 11 2 9 2 4 8 1 ,10,5000,200,0.1,0.9,100,100,500
659,93.8771,0 7 6 2 5 9 0 10 8 8 2 4 11 8 1 9 2 9 7 10 3 ,10,5000,200,0.1,0.9,100,100,500
656,116.108,4 3 4 2 7 3 0 10 9 8 1 2 6 0 11 8 5 9 2 3 2 ,10,5000,200,0.1,0.9,100,100,500
975,155.261,2 3 5 8 4 8 1 10 8 6 7 3 2 3 0 6 9 3 6 5 11 ,10,5000,200,0.1,0.9,100,100,500
1072,155.423,6 2 8 2 9 10 1 9 4 8 11 1 7 1 5 1 3 2 6 2 0 ,10,5000,200,0.1,0.9,100,100,500
1013,141.91,0 6 3 10 6 7 5 6 9 7 2 7 11 8 7 8 0 10 1 6 4 ,10,5000,200,0.1,0.9,100,100,500
1153,154.303,6 1 3 10 5 5 8 1 6 5 7 1 9 5 4 9 2 0 11 1 0 ,10,5000,200,0.1,0.9,100,100,500
973,158.012,3 4 7 0 6 8 9 8 1 10 8 8 2 0 5 4 3 4 0 7 11 ,10,5000,200,0.1,0.9,100,100,500
594,127.386,0 1 8 7 3 9 0 7 2 1 5 3 6 3 11 10 1 1 4 10 1 ,10,5000,200,0.1,0.9,100,100,500
1372,137.56,1 5 7 6 3 1 9 7 4 7 8 10 6 5 0 5 1 6 2 0 11 ,10,5000,200,0.1,0.9,100,100,500
249,25.0499,2 6 1 5 2 8 11 9 7 9 5 10 3 4 5 6 0 6 0 10 6 ,10,5000,200,0.001,0.9,100,100,500
924,165.753,0 7 1 7 3 4 0 7 8 10 7 9 6 2 11 4 9 7 5 4 2 ,10,5000,200,0.001,0.9,100,100,500
956,139.69,2 8 6 10 4 8 0 4 9 10 8 3 7 8 5 3 11 1 3 4 2 ,10,5000,200,0.001,0.9,100,100,500
1310,165.023,0 5 9 5 8 3 4 7 0 3 11 7 6 7 3 10 5 5 2 5 1 ,10,5000,200,0.001,0.9,100,100,500
912,165.753,7 5 9 5 7 1 11 0 8 9 2 10 0 0 3 0 6 0 4 5 1 ,10,5000,200,0.001,0.9,100,100,500
1258,143.378,4 3 1 3 11 9 6 7 4 9 5 9 2 9 0 10 9 10 7 8 3 ,10,5000,200,0.001,0.9,100,100,500
