iter_count,highest_fit,best_circuit,no_units,iter_max,best_count_lim,p_mutation,p_crossing,no_circuits,value_weight,waste_weight
1204,165.753,1 4 5 7 3 10 7 7 9 2 6 6 11 2 1 2 4 7 0 7 8 ,10,5000,200,0.001,0.9,100,100,500
1199,165.753,8 2 8 4 6 10 4 4 9 2 7 0 11 7 5 2 0 4 3 4 1 ,10,5000,200,0.001,0.9,100,100,500
1028,165.753,4 10 1 0 6 1 3 1 5 1 2 1 8 0 9 9 11 6 7 0 4 ,10,5000,200,0.001,0.9,100,100,500
1110,159.096,9 2 5 3 7 10 3 2 8 0 11 3 9 3 1 8 4 2 0 3 6 ,10,5000,200,0.001,0.9,100,100,500
946,164.486,8 6 8 4 2 4 7 5 1 6 0 6 4 10 5 4 11 5 9 5 3 ,10,5000,200,0.001,0.9,100,100,500
624,116.565,9 10 5 2 11 5 8 2 1 0 2 0 6 10 4 4 3 5 9 4 7 ,10,5000,200,0.001,0.9,100,100,500
664,155.423,4 1 5 2 9 10 6 6 0 6 7 8 11 2 1 6 3 2 4 2 8 ,10,5000,200,0.001,0.9,100,100,500
1110,165.753,8 3 9 2 8 10 3 2 7 7 5 1 11 3 4 2 1 3 0 3 6 ,10,5000,200,0.001,0.9,100,100,500
210,35.1073,6 10 6 0 5 10 5 2 0 6 9 3 8 5 7 1 4 2 7 5 11 ,10,5000,200,0.001,0.9,100,100,500
210,35.1073,6 10 6 0 5 10 5 2 0 6 9 3 8 5 7 1 4 2 7 5 11 ,10,5000,200,0.001,0.9,100,100,500
276,43.7222,3 7 1 9 4 8 11 8 5 7 5 0 2 7 3 10 9 4 6 7 0 ,10,5000,200,0.005,0.9,100,100,500
567,165.753,1 4 11 9 7 9 5 8 4 8 1 3 0 9 2 9 6 10 9 8 3 ,10,5000,200,0.005,0.9,100,100,500
669,165.753,4 10 2 0 4 0 7 2 8 2 3 1 11 7 5 0 1 2 9 2 6 ,10,5000,200,0.005,0.9,100,100,500
854,165.753,3 7 9 7 0 5 8 7 1 6 3 6 4 10 7 6 5 4 11 7 2 ,10,5000,200,0.005,0.9,100,100,500
709,165.753,4 10 6 9 11 6 8 7 1 6 5 6 2 0 7 0 9 6 3 0 4 ,10,5000,200,0.005,0.9,100,100,500
766,165.753,2 10 4 4 3 4 8 4 7 0 6 9 11 0 9 6 5 4 1 0 2 ,10,5000,200,0.005,0.9,100,100,500
779,165.753,3 1 8 10 7 7 5 7 6 8 11 0 4 7 9 1 0 1 3 7 2 ,10,5000,200,0.005,0.9,100,100,500
642,165.753,4 1 4 10 6 1 0 6 8 6 7 6 3 1 2 6 5 2 9 0 11 ,10,5000,200,0.005,0.9,100,100,500
1023,165.753,8 7 3 2 4 6 9 7 1 9 11 7 0 10 7 6 2 7 5 6 8 ,10,5000,200,0.005,0.9,100,100,500
797,165.753,3 7 3 4 6 4 1 4 9 7 8 0 11 8 5 10 4 7 0 4 2 ,10,5000,200,0.005,0.9,100,100,500
256,52.0771,4 10 3 9 7 9 3 6 4 6 1 10 0 5 8 2 11 5 2 5 3 ,10,5000,200,0.01,0.9,100,100,500
704,42.9482,2 8 11 10 3 9 0 10 5 8 7 6 9 9 1 3 2 5 9 3 4 ,10,5000,200,0.01,0.9,100,100,500
752,165.753,5 1 5 10 6 6 4 9 7 6 8 6 2 1 9 0 11 6 3 1 0 ,10,5000,200,0.01,0.9,100,100,500
811,165.753,4 10 9 9 8 5 6 0 4 9 7 0 3 3 11 9 1 9 2 0 5 ,10,5000,200,0.01,0.9,100,100,500
